name,country_code,genres,spotify_followers,spotify_monthly_listeners,facebook_likes,facebook_talks,twitter_followers,twitter_retweets,youtube_channel_views,youtube_daily_video_views,youtube_monthly_video_views,TikTok_followers,TikTok_Genz_followers,TikTok_Genz_followers_percentage,TikTok_avg_engagements_per_post,TikTok_number_of_top_tracks,TikTok_total_creations_for_top_n_tracks,TikTok_avg_creations_for_top_n_tracks,TikTok_total_views_for_top_n_tracks,TikTok_avg_views_for_top_n_tracks,Instagram_followers,Instagram_Genz_followers,Instagram_Genz_followers_percentage,Instagram_avg_engagements_per_post,artist_id,Youtube_subscribers,Youtube_Genz_subscribers,Youtube_Genz_subscribers_percentage,Youtube_avg_engagements_per_post
Giveon,US,"r&b, hip-hop/rap, r&b/soul, pop, sony_high_priority_artists",3012299,24592824,237887,721,429401,,1393838786,,,3600000,2788200,77.45,685128,10,3620400,362040,6947101775,694710178,2930141,1554439.8,53.05,368064,1202489,2800000,2004800,71.6,16723
T.I.,US,"rap, hip hop, pop rap, southern hip hop, gangster rap, dirty south rap, trap, atl hip hop, hip-hop/rap, insights_high_priority_artists",4607910,10986879,21425492,10023,9057148,,3265261416,1315317,35889045,,,,,10,1153100,115310,2357287113,235728711,14839924,4066139.18,27.4,17835,1270,4130000,2194269,53.13,25773
Dominic Fike,US,"alternative pop rock, hip-hop/rap, alternative, r&b/soul, pop, pov: indie",1138428,17237287,25297,435,95081,,197166167,,,504400,384403.24,76.21,82989,10,122080,12208,396268869,39626887,3179460,1828825.39,57.52,239646,831744,443000,320333.3,72.31,9063
Henrique & Juliano,BR,"sertanejo, sertanejo universitario, rock, brazilian, arrocha, pop, agronejo",19141298,12489623,9287852,4560,3134982,0,14528250204,7786760,181387561,3400000,1654100,48.65,24137,10,562600,56260,489230267,48923027,15778554,4850327.5,30.74,69020,4612,15500000,9447250,60.95,31679
Mark Ronson,GB,"pop soul, dance, pop, electronic, r&b/soul, insights_high_priority_artists, sony_high_priority_artists",1021555,22482506,883182,1630,540172,,6138923187,2008762,48110781,259100,137193.45,52.95,76648,10,744400,74440,2825523927,282552393,925056,340883.14,36.85,26748,1759,6740000,4216544,62.56,2170
Jorge & Mateus,BR,"sertanejo, sertanejo universitario, rock, world, brazilian, arrocha, country, agronejo",18907353,11681948,17302343,7786,10020804,,9026248317,4565845,116544364,1500000,769500,51.3,23826,10,671700,67170,331555265,33155526,18905446,5940091.13,31.42,40947,110066,14800000,8739400,59.05,2978
Ehis 'D' Greatest,,afrobeat,,,,,,,,,,,,,,3,2119219,706406,1227057812,409019271,,,,,,,,,
Avril Lavigne,CA,"pop, canadian pop, candy pop, rock, adult alternative, alternative, insights_high_priority_artists, sony_high_priority_artists",9982392,18682967,50584072,16630,20206187,,6174996388,1647765,48522589,5200000,3133000,60.25,128761,10,2161400,216140,2320083450,232008345,12475830,5757595.55,46.15,256168,1316,12400000,8861040,71.46,9187
Prince Royce,US,"latin pop, bachata, latin hip hop, pop, latino, salsa and tropical, latin, insights_high_priority_artists, urbano latino",7811394,17459938,33864300,48201,6573461,,6274740365,3132957,84502378,7400000,5082320,68.68,17464,10,1456900,145690,1333030961,133303096,15341431,6980351.1,45.5,227763,3779,10200000,7005360,68.68,15556
Glass Animals,GB,"indietronica, shiver pop, gauze pop, modern rock, rock, alternative, pop, electronic, insights_high_priority_artists, sony_high_priority_artists, pov: indie",3809075,25929574,482998,257,171889,,1561624095,1702920,48297862,532700,381253.39,71.57,11315,10,1802648,180265,6007366115,600736612,663571,316921.51,47.76,31866,3656,2810000,1838864,65.44,1202
Gwen Stefani,US,"pop, dance pop, rock, dance, insights_high_priority_artists",6077211,14682272,10264288,64817,2667108,,1561385377,650977,16550560,3100000,1379500,44.5,22281,10,1873400,187340,2281475812,228147581,16291933,4431405.78,27.2,66945,1541,2130000,1257339,59.03,4793
Quevedo,ES,"trap latino, r&b/soul, trap, latin, latin hip-hop/rap, rap canario, urbano latino",2142450,32035552,,,,,764557319,,,1900000,1439630,75.77,327360,6,196783,32797,250788895,41798149,2541045,1738074.78,68.4,225857,9354370,1540000,1157310,75.15,61012
Panic! At The Disco,US,"pop, rock, alternative, punk, insights_high_priority_artists, sony_high_priority_artists",11884522,25807893,7049857,389,2754010,,2315883545,1407970,40929968,1400000,1090180,77.87,8065,10,1901586,190159,2470614064,247061406,4447406,2802310.52,63.01,89806,2260,4980000,3619464,72.68,2913
Fede Vigevani,UY,"latin viral pop, hip-hop/rap, latin, latino, r&b/soul, latin hip-hop/rap, latin rock",390053,205144,1161828,8845,1691402,76,7621353669,,,17700000,14121060,79.78,836827,10,69392,6939,76089104,7608910,6954023,5113988.51,73.54,473035,1399034,24100000,16983270,70.47,467901
Tove Lo,SE,"pop, metropopolis, swedish pop, swedish synthpop, dance, electronic, alternative, swedish electropop, insights_high_priority_artists",3420691,16020030,2268256,7169,403618,,2538018563,754643,23985537,614700,412525.17,67.11,7428,10,1376700,137670,511670786,51167079,2501371,1167890.12,46.69,30019,4363,3650000,2622160,71.84,1041
Sabrina Carpenter,US,"pop, soundtrack, holiday, insights_high_priority_artists, soundtracks",5515814,22968330,8071607,15347,1781181,,1398998368,1248865,36195060,13900000,11520320,82.88,1366871,10,1915800,191580,1444957572,144495757,29533339,20126970.53,68.15,1293028,4550,5970000,4792119,80.27,27818
А4,,"hip-hop/rap, rap, pop, russian viral rap",48277,632,,,,,22667886451,,,11200000,8597120,76.76,1063401,10,60408,6041,31328614,3132861,7167157,5623351.38,78.46,123066,3965692,46000000,29016800,63.08,395879
2 Chainz,US,"rap, hip hop, pop rap, southern hip hop, trap, atl hip hop, hip-hop/rap, insights_high_priority_artists, sony_high_priority_artists",7891798,13633577,8846572,98065,4437543,,2227487378,958415,27682734,1400000,817320,58.38,123499,10,1006700,100670,1385945507,138594551,12484215,4087331.99,32.74,26373,4031,4000000,2317600,57.94,445
Billy Joel,US,"rock, singer-songwriter, album rock, classic rock, piano rock, mellow gold, soft rock, heartland rock, pop, pop/rock, singer/songwriter",5229444,22525908,3392513,38272,331354,,1745721066,975320,25016255,,,,,10,942823,94282,1601805721,160180572,592603,159173.17,26.86,20041,42,1670000,645121,38.63,1008
Zion & Lennox,PR,"reggaeton, latin, latino, latin urban, r&b/soul, latin hip-hop/rap, latin dance, insights_high_priority_artists, urbano latino",7395885,22120185,5357355,1684,1931348,,3012850739,3073815,76290577,455500,232851.6,51.12,1426,10,7660500,766050,3915789889,391578989,3823010,1766995.22,46.22,3671,1983,3470000,2407833,69.39,54962
NF,US,"hip hop, pop rap, hip-hop/rap, pop, r&b/soul, sony_high_priority_artists",8605743,16734899,1412215,3192,743694,,4312363738,2328622,71019302,32000,10297.6,32.18,0,10,2100900,210090,1999870042,199987004,3340911,1947417.02,58.29,298949,3132,9320000,6432664,69.02,101149
Oasis,GB,"rock, permanent wave, britpop, madchester, beatlesque, pop, alternative",8830629,20186071,8269700,4315,1076627,,2940435215,1469382,41071116,292500,182695.5,62.46,8502,10,82878,8288,254052565,25405256,1516686,586350.81,38.66,46977,912,3290000,1952286,59.34,1275
B.o.B,US,"rap, dance pop, pop rap, southern hip hop, atl hip hop, hip-hop/rap, insights_high_priority_artists",2113629,17027577,8611647,1066,1884017,,524816499,537682,15899408,,,,,10,2785800,278580,2662355866,266235587,830568,229984.28,27.69,1563,3368,1220000,753960,61.8,146
Bryan Adams,CA,"canadian pop, mellow gold, soft rock, classic canadian rock, canadian singer-songwriter, heartland rock, rock, pop, pop/rock, insights_high_priority_artists",3173125,20272336,6275890,5902,646297,,3795870113,1947473,49928467,211900,66621.36,31.44,5310,10,523400,52340,506985149,50698515,1103176,239499.51,21.71,38184,51,5480000,2135556,38.97,5120
Summer Walker,US,"r&b, hip-hop/rap, r&b/soul, pop, insights_high_priority_artists, sony_high_priority_artists",5127170,20802191,1439035,2291,1817401,,1921611263,1549205,50605019,2200000,1453320,66.06,37712,10,1349600,134960,2228867748,222886775,5602169,2272799.96,40.57,382962,924777,2230000,1554756,69.72,6087
Lil Tjay,US,"rap, vapor trap, southern hip hop, trap music, nyc rap, melodic rap, brooklyn drill, hip-hop/rap, singer/songwriter, insights_high_priority_artists, sony_high_priority_artists",6718381,18131055,,,1303965,,2505138064,1621372,39912166,5900000,4414380,74.82,152987,10,4846700,484670,3009158735,300915874,8381894,5045062,60.19,546899,1349373,5410000,3917922,72.42,42697
TOMORROW X TOGETHER,KR,"k-pop, k-pop boy group, pop, soundtracks",8180049,8735230,4152884,39082,14351849,,1417551233,1673865,47647864,21400000,17665700,82.55,1036570,10,733200,73320,2687829378,268782938,14660537,10139227.39,69.16,766113,1414812,10800000,8730720,80.84,40778
Premier League,,others,9266,18589,46770082,1081632,40970764,,3184110531,,,11500000,7036850,61.19,95881,2,352,176,2486827,1243414,67695028,28865159.94,42.64,179237,3974410,4680000,2479464,52.98,31376
Jul,FR,"francoton, french hip hop, rap marseille, pop urbaine, hip-hop/rap, rap",7541736,8448928,1271681,6664,1879771,,4365705411,3796566,101682487,1200000,919920,76.66,49307,10,945300,94530,685948466,68594847,3553427,2046063.27,57.58,90010,5704,6610000,4543714,68.74,27626
Hozier,IE,"pop, modern rock, irish singer-songwriter, alternative, singer/songwriter, rock, sony_high_priority_artists, pov: indie",5720959,25513959,1849600,8304,994148,,2358646670,1232201,34190307,1100000,807840,73.44,67588,10,185228,18523,532167404,53216740,2154326,1075870.4,49.94,110022,4732,3670000,2488994,67.82,10642
Destiny's Child,US,"r&b, pop, dance pop, urban contemporary, girl group, rock, r&b/soul, dance, insights_high_priority_artists, sony_high_priority_artists",6476071,14201983,3112565,2382,69352,,2129238387,984158,26578206,,,,,10,1413000,141300,3588179696,358817970,327552,102884.08,31.41,11973,103372,2120000,1240836,58.53,19993
Fabolous,US,"rap, urban contemporary, hip hop, pop rap, gangster rap, trap, hip-hop/rap, insights_high_priority_artists",2599566,5291775,4678896,647,4071866,,715570054,664982,17586385,,,,,10,256221,25622,364903155,36490316,10904082,2758732.75,25.3,51963,1126,953000,445622.8,46.76,46372
Disclosure,GB,"edm, house, indietronica, electronic, dubstep, uk dance, dance, insights_high_priority_artists",2119236,14342463,1840772,327,532726,,1303158817,450593,12189050,165900,102940.95,62.05,4298,10,1062806,106281,915791954,91579195,865915,310343.94,35.84,32002,4081,1720000,1118516,65.03,574
Zedd,DE,"pop, edm, complextro, german techno, pop dance, dance, electronic, house, insights_high_priority_artists",5951473,16211939,6996551,1131,7551298,,3274617433,950111,25636380,1100000,709170,64.47,268180,10,1712300,171230,451997496,45199750,8252179,4153321.69,50.33,68402,3777,6170000,4538035,73.55,1216
CHANYEOL,KR,"k-pop, pop, soundtrack, soundtracks",1796345,2706697,,,13891779,1518412,1293998,313852,10022579,4600000,3670340,79.79,835311,10,820021,82002,1549008206,154900821,24108569,15082320.77,62.56,1634135,213789,550000,459305,83.51,257125
Bruce Springsteen,US,"rock, singer-songwriter, new americana, heartland rock, pop, pop/rock, singer/songwriter, insights_high_priority_artists, sony_high_priority_artists",5660231,16759137,6071564,42176,1354979,,2037919055,1296485,32076800,,,,,10,16958,1696,43665330,4366533,1497561,241257.08,16.11,54563,208,1900000,456950,24.05,3009
LUDMILLA,BR,"funk carioca, pop nacional, funk pop, pagode baiano, r&b/soul, brazilian, funk, pop, hip-hop/rap, insights_high_priority_artists, funk rj",6327331,14077452,11272282,27291,10932993,,3803055233,4062449,88013945,11900000,7836150,65.85,115011,10,2928600,292860,2806471194,280647119,29560811,12684544,42.91,241188,5011,8520000,5488584,64.42,5794
G-Eazy,US,"rap, pop rap, indie pop rap, hip-hop/rap, oakland hip hop, pop, insights_high_priority_artists, sony_high_priority_artists",5175279,17146899,3438148,1282,3242290,,6028470912,2153846,56483395,1100000,715990,65.09,6947,10,9827800,982780,1056862493,105686249,10360023,5316763.8,51.32,65986,4114,8540000,5906264,69.16,6374
Outkast,US,"rap, hip hop, southern hip hop, dirty south rap, atl hip hop, hip-hop/rap, alternative rap, dirty south, old school atlanta hip hop, insights_high_priority_artists, sony_high_priority_artists",2274083,20714977,2521918,8208,217323,,1989044310,1153017,28143869,402800,226494.44,56.23,9159,10,774729,77473,2183550533,218355053,581316,134051.47,23.06,21871,180,1870000,938553,50.19,2498
Ciara,US,"r&b, pop, dance pop, urban contemporary, hip pop, hip-hop/rap, r&b/soul, insights_high_priority_artists",6184867,10256182,16047386,75057,11706628,,3387006691,1031259,29004697,3800000,1971440,51.88,33886,10,5280400,528040,8126388832,812638883,34369994,11197744.05,32.58,113313,2083,5490000,3416427,62.23,4617
Trippie Redd,US,"rap, trap, melodic rap, hip-hop/rap, pop, rock, insights_high_priority_artists, sony_high_priority_artists",8781155,18585345,1096818,20050,2392356,,1912391381,,,3600000,2690280,74.73,126999,10,1249000,124900,3169764124,316976412,13865054,8374492.62,60.4,1159975,526471,4200000,3063480,72.94,4323
Stephen Sanchez,US,"singer/songwriter, gen z singer-songwriter, pop, dance",708466,30381185,,,5746,,416721671,1672193,55687384,1400000,1112160,79.44,340244,10,1046773,104677,4077760830,407776083,688646,446104.88,64.78,37828,3763237,852000,583790.4,68.52,6471
Moneybagg Yo,US,"rap, southern hip hop, memphis hip hop, tennessee hip hop, trap, hip-hop/rap, insights_high_priority_artists, sony_high_priority_artists",3784274,13306621,2151199,20480,2736779,,3149524070,2300672,84345735,1300000,752440,57.88,479627,10,2427800,242780,3923260977,392326098,8830424,3201911.74,36.26,199998,601328,3080000,1813504,58.88,16471
Sade,GB,"pop rock, rock, classic rock, album rock, british soul, sophisti-pop, pop, hip-hop/rap, r&b/soul, vocal",3295589,11781329,3875065,1735,167042,,1425227162,1193069,30240176,,,,,10,171734,17173,363239149,36323915,753173,136700.9,18.15,54078,76,1810000,531597,29.37,26873
T-Pain,US,"r&b, rap, dance pop, urban contemporary, hip hop, pop rap, southern hip hop, gangster rap, trap, hip-hop/rap, r&b/soul, pop, insights_high_priority_artists",4390827,11651712,13116700,92785,1335798,,2105395218,1054354,28372630,3252564,1740121.74,53.5,11271,10,3628311,362831,3573841083,357384108,3036912,935368.9,30.8,7552,209507,3080000,1791020,58.15,2757
RAYE,GB,"uk pop, uk contemporary r&b, rock, dance, pop, hip-hop/rap, r&b/soul, insights_high_priority_artists",918512,25527886,143438,669,89366,,289472819,19895,587256,544000,369593.6,67.94,163876,10,2754600,275460,5847817494,584781749,773102,344030.39,44.5,67206,407402,543000,350017.8,64.46,6792
John Mayer,US,"neo mellow, singer-songwriter, rock, pop, adult alternative, singer/songwriter, insights_high_priority_artists, sony_high_priority_artists",5888107,16473874,6646217,15402,1343264,,1327502577,478247,14151227,1600000,872320,54.52,244778,10,1427494,142749,1398439364,139843936,5804450,2102952.24,36.23,166281,1071,2430000,1408428,57.96,41493
Ñengo Flow,PR,"reggaeton, latin, latin hip hop, reggaeton flow, trap latino, hip-hop/rap, latino, latin hip-hop/rap, urbano latino",4599000,18680716,9935385,1735,,,1582441807,3227254,81213636,,,,,10,2495000,249500,2093294632,209329463,8346554,4281782.2,51.3,189449,71733,4500000,3446550,76.59,82503
Tom Odell,GB,"chill pop, singer/songwriter, pop, rock, alternative, insights_high_priority_artists",3227279,25370033,702468,1637,,,1222889920,2465480,69964903,1800000,1398240,77.68,23686,10,1552237,155224,7440011044,744001104,784001,413560.53,52.75,37234,4348,1850000,1306840,70.64,4721
Fifth Harmony,US,"pop, talent show, girl group, dance, insights_high_priority_artists",15824640,10188865,7463658,310,4451611,,7931583162,1512932,45186540,612500,541940,88.48,37166,10,8796800,879680,2434916643,243491664,11382144,6586846.73,57.87,388655,4378,14600000,10944160,74.96,380699
Journey,US,"rock, album rock, classic rock, hard rock, mellow gold, soft rock, heartland rock, pop, pop/rock, insights_high_priority_artists",5044438,18530633,5089741,459,270522,,1850343353,1380450,35625388,120500,39837.3,33.06,6638,10,233309,23331,804551346,80455135,176987,37574.34,21.23,3871,362,1910000,669646,35.06,3501
NCT,KR,"k-pop, k-pop boy group, pop, soundtracks",5912302,2556128,3755204,27831,10885974,,903925962,,,11200000,9163840,81.82,538796,7,18660,2666,75298011,10756859,16325188,10784419.19,66.06,477472,910732,5920000,4846704,81.87,34466
Troye Sivan,AU,"pop, viral pop, australian pop, dance, rock, electronic, insights_high_priority_artists",7675522,17588843,3925412,7910,8676304,,1793178837,895384,26933010,2100000,1606500,76.5,363117,10,7656400,765640,4135688037,413568804,14618825,8942335.25,61.17,459064,3880,7890000,6628389,84.01,3306
Bastille,GB,"pop, metropopolis, modern rock, rock, electronic, alternative, insights_high_priority_artists",5385778,20023880,2529271,2077,,,1435253386,336383,10119796,341600,219580.48,64.28,6742,10,1503793,150379,1029367087,102936709,823967,417339.29,50.65,12837,3924,2440000,1726056,70.74,702
Lost Frequencies,BE,"edm, tropical house, pop dance, belgian edm, dance, electronic, house, pop, insights_high_priority_artists, sony_high_priority_artists",2674280,24974722,1236423,647,59790,,840029891,742398,21662331,196800,127368.96,64.72,6428,10,1993974,199397,1502288058,150228806,1058324,507254.69,47.93,15377,5058,1180000,711540,60.3,3389
Tory Lanez,CA,"r&b, rap, canadian hip hop, toronto rap, trap, melodic rap, canadian trap, hip-hop/rap, r&b/soul, pop, insights_high_priority_artists, sony_high_priority_artists",5638043,21830419,2482136,8892,2242515,,2540702063,1252609,33124015,2100000,1400070,66.67,65820,10,743000,74300,1021651692,102165169,11927359,4781678.22,40.09,260088,4234,4370000,2813843,64.39,16411
Diddy,US,"rap, dance pop, hip hop, pop rap, hip pop, east coast hip hop, rock, psychedelic rock, garage rock, dance, pop, hip-hop/rap, r&b/soul, insights_high_priority_artists",1490292,11106746,7025611,170084,15092405,,522442107,,,2300000,1113660,48.42,61741,10,674137,67414,1428661548,142866155,20045038,5492340.41,27.4,80819,1544,704000,329190.4,46.76,2312
JID,US,"rap, hip hop, underground hip hop, hip-hop/rap, insights_high_priority_artists",1251324,24262706,416084,441,707556,,309562338,,,327100,180297.52,55.12,18266,10,964166,96417,3965992667,396599267,1510331,730547.1,48.37,87497,197670,898000,567985,63.25,3102
Kane Brown,US,"country, contemporary country, country road, pop, black americana, electronic, sony_high_priority_artists",4940768,13602915,2537625,41884,1759827,,2599920389,990244,30999482,5200000,2809560,54.03,170051,10,1024900,102490,957942491,95794249,3490301,1538175.65,44.07,173977,5408,3540000,1980276,55.94,2218
Tainy,HR,"reggaeton, pop reggaeton, trap latino, hip-hop/rap, latin, latino, latin urban, latin pop, latin hip-hop/rap, urbano latino",1408987,22843292,304912,1877,238125,,1892125688,1946295,45500414,840700,615308.33,73.19,47310,10,3887700,388770,2537651899,253765190,1505040,683137.66,45.39,135006,471864,2240000,1568000,70,22852
Rita Ora,GB,"pop, dance pop, uk pop, dance, electronic, insights_high_priority_artists",8184855,13764366,5375237,1608,6424053,,2355470103,623274,19416351,2500000,1444000,57.76,27763,10,976700,97670,431336179,43133618,16112785,6583683.95,40.86,521,4109,4099999,2794559.32,68.16,1819
Quavo,US,"rap, trap, melodic rap, atl hip hop, hip-hop/rap, insights_high_priority_artists",6694029,13703384,1717668,98487,3828163,,424269176,828199,24406043,1500000,971550,64.77,92498,10,3159500,315950,2887523910,288752391,23424585,10899459.4,46.53,480139,38780,1200000,719760,59.98,25993
Prince,US,"rock, funk rock, funk, synth funk, pop, hip-hop/rap, r&b/soul, world, hip-hop, afro-beat, minneapolis sound",6858082,11491005,1723007,9,,,1309318681,770734,20444633,389200,113724.24,29.22,19308,10,516900,51690,297732006,29773201,521483,116968.64,22.43,11859,48,1920000,521472,27.16,6290
Daniel Caesar,CA,"canadian contemporary r&b, hip-hop/rap, jazz, r&b/soul, sony_high_priority_artists",4189773,26846500,223669,1380,417747,,1010060984,1174636,32590144,382500,249849,65.32,105699,10,2046992,204699,5506303292,550630329,1787630,855380.96,47.85,139621,132058,1730000,1196814,69.18,4973
Fast & Furious: The Fast Saga,,"pop, hip-hop/rap",59104,20551671,,,,,,,,,,,,0,0,,0,,,,,,,,,,
Florence + The Machine,GB,"neo mellow, modern rock, uk alternative pop, baroque pop, rock, alternative, indie rock, pop, insights_high_priority_artists, sony_high_priority_artists",6426465,19391684,4947184,13639,,,1470061223,649022,20723486,635000,397510,62.6,416974,10,370713,37071,1280568986,128056899,2191980,861667.34,39.31,121373,3129,2140000,1302618,60.87,6704
EXO-M,KR,"dance pop, k-pop, pop",1031442,50316,12226627,162652,13891779,1518412,928645003,1044,30577,4600000,3712200,80.7,829554,6,279,46,1962929,327155,10600336,6925199.51,65.33,578107,321773,9360000,7579728,80.98,113914
Tina Turner,US,"soft rock, rock, pop, r&b/soul, insights_high_priority_artists",3564339,15431067,6746367,4626,,,904268882,1335142,60528079,,,,,10,401763,40176,377744942,37774494,1282123,202447.22,15.79,274648,346,1340000,341700,25.5,5517
Reik,MX,"latin pop, reggaeton, latin arena pop, mexican pop, latino, pop latino, latin, sony_high_priority_artists",8334534,20283030,14967351,14235,3935238,,8307414336,3263606,99847403,1700000,1043800,61.4,22764,10,1354300,135430,774662674,77466267,2443355,1088514.65,44.55,26804,64141,9720000,6772896,69.68,12127
Sunidhi Chauhan,IN,"filmi, desi pop, modern bollywood, soundtrack, indian, bollywood, indian pop, insights_high_priority_artists, soundtracks",14765160,16492046,12876830,6661,3864012,,,8048250,217798339,16600,6613.44,39.84,93,10,2726100,272610,525615803,52561580,1934047,529348.66,27.37,34489,246975,228000,127543.2,55.94,63
Nicki Nicole,AR,"trap latino, argentine hip hop, r&b argentino, trap argentino, hip-hop/rap, latin, latin hip-hop/rap, urbano latino",4337761,22897954,,,400922,,1205119354,4921696,133386042,7900000,6678660,84.54,904096,8,35127,4391,119329112,14916139,15132609,9966336.29,65.86,860723,1721827,4600000,3582480,77.88,86207
The Killers,US,"rock, permanent wave, alternative rock, dance rock, modern rock, alternative, dance, insights_high_priority_artists, sony_high_priority_artists",7021502,21225613,8406335,15035,4677878,,2337926026,749670,20590628,141300,54570.06,38.62,36211,10,110693,11069,302924028,30292403,1360495,492091.04,36.17,26391,1939,2380000,1394204,58.58,10022
Meek Mill,US,"rap, hip hop, pop rap, southern hip hop, trap, philly rap, hip-hop/rap, insights_high_priority_artists",7322393,14283259,7967771,1673,11385841,,3748103990,1332881,34232303,,,,,10,706200,70620,1493159617,149315962,23593222,8510075.18,36.07,138739,3970,5320000,3209024,60.32,16086
Paulo Londra,AR,"trap latino, argentine hip hop, trap argentino, hip-hop/rap, hip-hop, electronic, latin, latin hip-hop/rap, latin dance, urbano latino",21769808,15198200,10120526,2772,1815841,,7999443262,2840993,74481491,6900000,5972640,86.56,296561,10,1436100,143610,883127189,88312719,14031519,9403924.03,67.02,964609,665663,22400000,17335360,77.39,233390
ATEEZ,KR,"k-pop, k-pop boy group, pop, soundtracks, sony_high_priority_artists",,,1315051,23511,3929679,,580329535,2115374,64189720,4800000,3850080,80.21,282521,10,265800,26580,583047003,58304700,8099267,5437037.94,67.13,335557,1346209,3270000,2657856,81.28,20575
Zendaya,US,"pop, post-teen pop, rock, soundtrack, insights_high_priority_artists, soundtracks",4044618,12000720,19342873,2768,20885917,,560562065,911616,26031955,1300000,1181960,90.92,84642,10,2311012,231101,3406425516,340642552,182642568,101622324.8,55.64,5681299,4051,4030000,3162341,78.47,37577
Joji,US,"viral pop, pop, alternative, r&b/soul, hip-hop/rap, sony_high_priority_artists",8642680,24644271,2437963,5331,1779645,,1242537989,1381314,39799812,1200000,864000,72,405720,10,2830100,283010,9917781901,991778190,6918233,4221505.78,61.02,586519,711146,3300000,2436060,73.82,175041
Big One,,"rock, pop, hip-hop/rap, latin",76860,14901447,71105,7834,,,156857,,,,,,,10,1470249,147025,1223069072,122306907,,,,,156167,1060,638.86,60.27,0
Jimin,KR,"k-pop, pop dance, pop edm, pop r&b, pop, hip-hop/rap",5792404,13716893,,,,,72791273,,,,,,,10,816957,81696,1289121539,128912154,50497464,31833601.31,63.04,7624795,9091402,1440000,1011312,70.23,64356
Anderson .Paak,US,"hip hop, neo soul, escape room, indie soul, hip-hop/rap, r&b/soul, pop, insights_high_priority_artists",2359398,20760468,821297,221,,,326497349,400557,11153474,450600,278696.1,61.85,56236,10,1962400,196240,4453172331,445317233,3344724,1214803.76,36.32,49868,4911,813000,413817,50.9,38868
Louis Vuitton,,others,,,,,,,,,,10400000,7170800,68.95,94377,0,0,,0,,,,,,,,,,
Amy Winehouse,GB,"neo soul, british soul, rock, pop, r&b/soul, jazz, insights_high_priority_artists",8453485,14783691,10921129,8394,542312,,0,1156053,32100190,,,,,10,257413,25741,778018484,77801848,856290,412046.75,48.12,60457,1820,1960000,1148560,58.6,48663
Ana Castela,BR,"sertanejo pop, brazilian, sertanejo, r&b/soul, country, latin, latin pop, funk rj, agronejo",1992383,15026026,,,,,679553841,,,7500000,5778000,77.04,563285,10,1765500,176550,2024674089,202467409,8709130,4271828.26,49.05,321506,4266400,2089999,1202376.42,57.53,74870
Emilia,AR,"pop argentino, dance, latino, pop latino, latin, latin pop, latin hip-hop/rap, latin dance",1407941,16569753,3491,3,1586414,2888,842998607,,,6200000,5007120,80.76,789524,10,1650800,165080,2725415084,272541508,7264661,3904755.29,53.75,665310,1417101,1470000,1129989,76.87,57689
De La Ghetto,US,"reggaeton, reggaeton flow, trap latino, hip-hop/rap, latino, latin urban, latin, latin pop, latin hip-hop/rap, urbano latino",7023781,19200072,7609839,18991,2490509,,1331199883,3749530,92885335,588900,368298.06,62.54,51108,10,11922100,1192210,8659735239,865973524,8457332,4134789.61,48.89,44985,3570,2970000,2189484,73.72,23725
Ice Cube,US,"rap, hip hop, g funk, west coast rap, gangster rap, conscious hip hop, hip-hop/rap, hardcore rap, gangsta rap, insights_high_priority_artists",7060228,17063351,17696368,55124,5669666,,1339734132,1358644,43399471,,,,,10,660236,66024,1286740388,128674039,29577241,10550201.86,35.67,41852,57,2410000,1484560,61.6,2053
Lady Aqua,,"pop, german pop",3918,311114,148,0,147,,154239,,,,,,,10,2205392,220539,1324227136,132422714,59,9.62,16.3,0,,,,,
Carly Rae Jepsen,CA,"pop, dance pop, canadian pop, rock, dance, insights_high_priority_artists",5210553,16785334,10436800,10393,9338759,,2510391925,901594,24325256,520600,289661.84,55.64,40020,10,1790300,179030,1955203280,195520328,2584904,1259106.74,48.71,27408,3397,4110000,2985093,72.63,6303
Ludacris,US,"rap, dance pop, hip hop, pop rap, southern hip hop, dirty south rap, trap, atl hip hop, hip-hop/rap, hardcore rap, dirty south, old school atlanta hip hop, insights_high_priority_artists",2611311,6963495,21321024,154127,11197423,,1361827075,574934,16825526,5200000,2265640,43.57,36783,10,3788411,378841,3802133540,380213354,15721213,4835845.12,30.76,266451,769,2280000,1304616,57.22,20951
YOASOBI,JP,"j-pop, japanese teen pop",5752942,10300947,,,864947,,2956405968,8316049,246213750,1500000,1077300,71.82,204746,10,824500,82450,2169487014,216948701,436209,246545.33,56.52,21859,3491328,5300000,3881720,73.24,229626
Maren Morris,US,"contemporary country, texas country, pop, country, electronic, insights_high_priority_artists, sony_high_priority_artists",745795,14399209,619592,270,848847,,367860295,,,496600,212197.18,42.73,41833,10,250783,25078,226708008,22670801,1642853,558898.59,34.02,57376,5467,446000,223624.4,50.14,716
George Michael,GB,"new wave pop, pop",4295036,15897615,3731797,139765,92450,,2762322691,1718224,40314862,423200,222772.48,52.64,22348,10,1187923,118792,4106428777,410642878,593192,126053.3,21.25,31672,45,3030000,1055046,34.82,2380
Tanishk Bagchi,IN,"filmi, desi pop, modern bollywood, soundtrack, indian, bollywood, indian pop, soundtracks",3121832,22699484,190132,56,26577,,,3152100,85238748,,,,,10,26134200,2613420,2059235256,205923526,6077630,2532548.42,41.67,46059,,,,,
